iter	Logloss
0	0.6909276458
1	0.6890524425
2	0.6870715058
3	0.6853081465
4	0.6835541665
5	0.6817058675
6	0.6800218592
7	0.67812251
8	0.6762010749
9	0.674471394
10	0.6728573598
11	0.6710946691
12	0.6693248448
13	0.6675285479
14	0.6659489024
15	0.6645346725
16	0.6629427907
17	0.6615096647
18	0.6600423203
19	0.6585949933
20	0.6570645516
21	0.6558151769
22	0.6546443827
23	0.6534968827
24	0.6522425453
25	0.6508251208
26	0.6495950231
27	0.648299851
28	0.6471353883
29	0.6459699765
30	0.6447792108
31	0.6436951327
32	0.6423447798
33	0.6413684892
34	0.6403325187
35	0.6393423524
36	0.6383946576
37	0.6376475298
38	0.6367146245
39	0.6356468381
40	0.6347647628
41	0.6339838309
42	0.6332558261
43	0.632390249
44	0.6316470797
45	0.6308126257
46	0.6299411044
47	0.629219664
48	0.6284463957
49	0.6277430351
50	0.6268995914
51	0.6262750331
52	0.62553143
53	0.6249661265
54	0.6242289522
55	0.6235656163
56	0.6229351398
57	0.6222778018
58	0.621609461
59	0.6210488841
60	0.6204460976
61	0.6198405266
62	0.6191626874
63	0.618565386
64	0.6180795076
65	0.6174438678
66	0.616869662
67	0.6162816961
68	0.6157157529
69	0.6152072276
70	0.6146815764
71	0.6142862401
72	0.6137780017
73	0.6133394221
74	0.6128946454
75	0.6124822022
76	0.612051335
77	0.6116256751
78	0.6112386033
79	0.6108638715
80	0.6104508649
81	0.6101647288
82	0.6097018203
83	0.6093321369
84	0.608863608
85	0.6084966506
86	0.6080824243
87	0.6076978366
88	0.6073353547
89	0.6070385381
90	0.606611406
91	0.6062825934
92	0.6058710108
93	0.6055178598
94	0.6052284704
95	0.6048826647
96	0.604570524
97	0.6043136005
98	0.6040754971
99	0.6038003185
100	0.6035128951
101	0.6032509209
102	0.6030206667
103	0.6026816413
104	0.6023331484
105	0.6021050202
106	0.6018459196
107	0.6016357366
108	0.6014363685
109	0.6011520389
110	0.6009169934
111	0.6007262702
112	0.6004700839
113	0.600270231
114	0.6000141437
115	0.5997480593
116	0.5994694963
117	0.5991508195
118	0.5989341073
119	0.5986881111
120	0.5984945521
121	0.5983136646
122	0.5981023501
123	0.5979451876
124	0.597776846
125	0.5975714631
126	0.5973762575
127	0.5971368156
128	0.5969510179
129	0.5967788781
130	0.5966075755
131	0.5964487211
132	0.5962830874
133	0.596139061
134	0.5959519105
135	0.5957962266
136	0.5956245531
137	0.5954418814
138	0.5952785076
139	0.5951264008
140	0.5949489793
141	0.5947440143
142	0.5945410354
143	0.5943738014
144	0.5942198326
145	0.594044256
146	0.5938755194
147	0.5937255942
148	0.5935901926
149	0.5934455454
150	0.5933031725
151	0.5931682608
152	0.5929740551
153	0.592769787
154	0.5926543695
155	0.5925304189
156	0.5924011287
157	0.5922622104
158	0.5921329452
159	0.5920258753
160	0.5919313191
161	0.591829207
162	0.591714698
163	0.5916031047
164	0.5914776131
165	0.5913365295
166	0.5912184629
167	0.5910835862
168	0.5909549755
169	0.5907801174
170	0.590658646
171	0.5905649782
172	0.5904822556
173	0.5904026141
174	0.5902567864
175	0.5901750831
176	0.5901269097
177	0.5900232164
178	0.5899279083
179	0.5898384291
180	0.5897473361
181	0.589640025
182	0.5895866432
183	0.5894995032
184	0.5894132713
185	0.5893187104
186	0.5892055462
187	0.5891267452
188	0.5890034391
189	0.5889635729
190	0.5888933061
191	0.5888503637
192	0.5887647637
193	0.5886602539
194	0.5886037098
195	0.5885233616
196	0.5884348051
197	0.5883371794
198	0.5882675013
199	0.588179333
200	0.5881022532
201	0.5880428942
202	0.5879841453
203	0.5878845622
204	0.5878249041
205	0.5877549305
206	0.5876176977
207	0.5875281484
208	0.5874631451
209	0.587426657
210	0.5873575613
211	0.587300363
212	0.5872585099
213	0.587196253
214	0.5871426876
215	0.587067814
216	0.5869934773
217	0.5869444472
218	0.5868624282
219	0.58681207
220	0.5867604918
221	0.5867101416
222	0.5866499453
223	0.5865522211
224	0.5864970635
225	0.5864645231
226	0.586396889
227	0.5863422218
228	0.5862712793
229	0.5862459295
230	0.5861545594
231	0.5861167933
232	0.5860795961
233	0.5860299335
234	0.5859824744
235	0.5859376423
236	0.5859019789
237	0.5858682959
238	0.5857800286
239	0.5857145009
240	0.585622301
241	0.5855717879
242	0.5855042683
243	0.5854811137
244	0.5854537835
245	0.5853902141
246	0.5853410598
247	0.5852711807
248	0.5852058079
249	0.585116914
250	0.5850782142
251	0.585032612
252	0.5849821149
253	0.5849612669
254	0.5849310965
255	0.5848700188
256	0.5848505857
257	0.5847840704
258	0.5847610242
259	0.5846966841
260	0.584658055
261	0.5846195112
262	0.5845219871
263	0.5845025925
264	0.584428878
265	0.5843886803
266	0.5843540381
267	0.5842957767
268	0.5842620093
269	0.5841777464
270	0.5841459752
271	0.5841035976
272	0.5840264804
273	0.5840000515
274	0.5839736449
275	0.5839497053
276	0.5839274404
277	0.5839057444
278	0.5838537434
279	0.5838132282
280	0.58378384
281	0.5837280896
282	0.5836985255
283	0.5836304325
284	0.5835922446
285	0.5835777544
286	0.5835216662
287	0.5834683376
288	0.5834395918
289	0.5834189477
290	0.5833655938
291	0.5833490185
292	0.5833150418
293	0.5832772257
294	0.5832590155
295	0.5832339632
296	0.5832140657
297	0.5831811332
298	0.5831613621
299	0.583141032
300	0.5830994262
301	0.5830711285
302	0.583047073
303	0.583028499
304	0.5829645739
305	0.5829342964
306	0.582902304
307	0.5828434569
308	0.582781137
309	0.5827637346
310	0.58273891
311	0.5827169383
312	0.5826948848
313	0.5826803313
314	0.5826494224
315	0.5826298918
316	0.5825925505
317	0.5825587216
318	0.5825017219
319	0.5824891514
320	0.5824669139
321	0.5824468491
322	0.5824149294
323	0.5823967743
324	0.5823697933
325	0.5823534667
326	0.5823382957
327	0.582308024
328	0.5822924072
329	0.5822606917
330	0.5822320351
331	0.5822077474
332	0.5821741464
333	0.5821330723
334	0.5821209503
335	0.582063907
336	0.582052206
337	0.5820324573
338	0.5820193942
339	0.5819936563
340	0.5819826078
341	0.5819587872
342	0.5819428872
343	0.5819248708
344	0.5819013451
345	0.5818779082
346	0.5818288763
347	0.5818006838
348	0.581781887
349	0.5817750291
350	0.5817324187
351	0.5817101206
352	0.5816804166
353	0.5816523226
354	0.5816260101
355	0.5816112879
356	0.5815853669
357	0.5815664268
358	0.5815239437
359	0.5814870494
360	0.5814552013
361	0.5814365872
362	0.5813997275
363	0.5813841041
364	0.5813746226
365	0.5813533208
366	0.5813286613
367	0.5813125174
368	0.5812887269
369	0.5812790429
370	0.5812348235
371	0.5812184138
372	0.5812032288
373	0.5811869487
374	0.5811730406
375	0.5811463524
376	0.581119386
377	0.5810869949
378	0.581065858
379	0.5810561081
380	0.5810495051
381	0.5810365218
382	0.581014998
383	0.5809973897
384	0.5809828565
385	0.5809500175
386	0.5809055053
387	0.5808920824
388	0.5808756479
389	0.5808656822
390	0.580841997
391	0.5808246664
392	0.580813981
393	0.5807971692
394	0.580781613
395	0.5807668646
396	0.5807513414
397	0.5807033281
398	0.5806727349
399	0.5806461847
400	0.5806303682
401	0.5806078159
402	0.5805953391
403	0.5805817512
404	0.5805678313
405	0.5805550509
406	0.5805413916
407	0.5805149906
408	0.5804720186
409	0.5804635667
410	0.5804451357
411	0.5804107267
412	0.5803920729
413	0.5803748913
414	0.58035965
415	0.5803496311
416	0.5803433876
417	0.5803177051
418	0.5803001075
419	0.5802705759
420	0.5802424821
421	0.5802198523
422	0.5802107169
423	0.5801770652
424	0.5801500818
425	0.5801335572
426	0.580116237
427	0.5801046288
428	0.580091987
429	0.5800831322
430	0.5800676854
431	0.5800445414
432	0.5800322855
433	0.5800089167
434	0.5800015387
435	0.5799843672
436	0.5799664382
437	0.579949732
438	0.5799346404
439	0.579905717
440	0.5798932081
441	0.5798692344
442	0.5798539434
443	0.5798361748
444	0.5798294994
445	0.5798191466
446	0.5798151052
447	0.5797965562
448	0.5797883706
449	0.5797834318
450	0.579773074
451	0.5797655642
452	0.5797511432
453	0.5797250183
454	0.579711403
455	0.5796935901
456	0.5796864515
457	0.5796737271
458	0.5796497138
459	0.5796409753
460	0.5796262825
461	0.5796172386
462	0.5796133617
463	0.5795922585
464	0.5795845996
465	0.5795726951
466	0.5795638742
467	0.5795542403
468	0.5795422548
469	0.5795175333
470	0.5794951676
471	0.579473229
472	0.5794592543
473	0.5794522803
474	0.5794303698
475	0.5794208406
476	0.5794099517
477	0.5793989961
478	0.5793841914
479	0.579347625
480	0.5793369009
481	0.5793269976
482	0.5793240554
483	0.5793146651
484	0.5793081943
485	0.5792994619
486	0.5792974985
487	0.5792787457
488	0.5792713415
489	0.5792565982
490	0.5792331448
491	0.5792287925
492	0.579220104
493	0.5792126604
494	0.5792026561
495	0.5791965783
496	0.5791751543
497	0.5791702932
498	0.5791636909
499	0.5791523211
